district,rooms,square_meters,price
PragaPołudnie,2,55,3000
Mokotów,2,30,3499
Ursus,2,54,3000
Bemowo,3,69,5000
Wilanów,3,92,6900
Targówek,2,47.5,3000
Białołęka,3,60,3250
Śródmieście,3,95,8000
Wola,1,29,2300
Wawer,2,32,3000
Śródmieście,2,67,5500
Ursus,3,70,4200
Ursynów,2,52,4500
Bemowo,2,33,3200
Wola,3,48.41,4600
PragaPołudnie,2,40,2600
Włochy,2,81,6400
Ursus,3,59,4800
Mokotów,4,135,7000
Wola,2,50,3000
Żoliborz,2,48,2500
Bielany,2,40,3900
Ochota,1,28,2000
PragaPółnoc,3,68,3500
Mokotów,4,68.4,6350
Bielany,3,54,2800
Śródmieście,1,30,4100
Ursus,3,64,5000
Wawer,3,50,3000
Żoliborz,2,50,4000
Bielany,3,78,4700
Mokotów,4,120,12000
Mokotów,3,48,5000
Wola,2,41.56,3000
Włochy,2,42.5,3300
Ursus,2,37.1,2740
Bemowo,2,43,3000
Bemowo,3,73,4100
Ursynów,2,55,3100
Śródmieście,2,67,5500
PragaPołudnie,1,23.5,2100
Żoliborz,4,100,6000
Mokotów,3,56,3400
Ursus,2,38,3200
PragaPołudnie,2,37.5,2900
Bielany,3,57,3200
Wilanów,2,44,4000
Śródmieście,4,130,30000
Bemowo,3,76,4300
Centrum,3,46,3500
PragaPołudnie,2,49,3100
Wilanów,2,44,4000
Ochota,1,38,2300
Wawer,3,56,3900
Śródmieście,4,130,30000
Bemowo,2,40,3200
PragaPołudnie,2,45,2800
Bielany,2,40,3900
Targówek,2,43,2600
Wola,3,48.41,4600
Wola,2,56.14,3650
Targówek,2,50,2999
Wilanów,2,55,4200
Mokotów,2,42,5500
Bielany,2,48,3600
Bemowo,2,52,3200
Mokotów,2,47.53,4200
Mokotów,1,35,3499
Włochy,2,36,3600
Mokotów,2,43,3000
Żoliborz,3,47,4800
Wilanów,2,47,3500
Wilanów,2,62,3700
Targówek,2,41.95,3100
Śródmieście,1,39,2800
Mokotów,2,65,6000
Ochota,2,52,4500
Mokotów,2,38,3200
Bielany,3,80,4800
Ursynów,3,65,2900
Wola,2,36,3600
Wawer,2,32,3000
Śródmieście,2,50,6500
Śródmieście,2,53,3300
Wola,2,50,3600
Śródmieście,3,110,16500
Białołęka,3,74,3200
PragaPołudnie,2,38,3100
Ursus,3,70,3000
PragaPołudnie,2,37.5,2900
Włochy,3,62,4000
Mokotów,3,60,4500
PragaPołudnie,2,40,3700
Ochota,1,22,2500
Ursus,2,41.9,3100
Śródmieście,4,230,33000
Bielany,1,32.27,2700
Włochy,2,37,2500
PragaPołudnie,5,180,9800
Targówek,2,43,2600
PragaPołudnie,2,38,3100
Ursynów,3,60,4500
